video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
d1eEWihvwpQ,UCXIJgqnII2ZOINSWNOGFThA,who declares coronavirus outbreak a pandemic,Fox News,News & Politics,none,457010,3625,0,1940,2020-03-11T16:50:56Z,"fox news alert,breaking news,fox,news,fox news channel,corona,corona virus,virus,coronavirus,pandemic,WHO,world health,world health organization,breaking,health,coronavirus pandemic,covid,covid 19,covid19,coronavirus news",PT51S,hd,True,https://i.ytimg.com/vi/d1eEWihvwpQ/default.jpg,https://www.youtube.com/watch?v=d1eEWihvwpQ
lydWQoqDNp8,UCXIJgqnII2ZOINSWNOGFThA,tucker coronavirus pandemic is a real fear,Fox News,News & Politics,none,459442,9068,0,2273,2020-02-25T02:20:00Z,"health,coronavirus,china,wuhan china,novel coronavirus,tucker carlson,tucker carlson monologue,carlson,carlson monologue,tucker,tucker monologue,tucker carlson corona virus,tucker carlson tonight,china us relationship,spread of coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,wuhan virus,tucker carlson virus,coronavirus economy,economic impact of coronavirus,US dependent on china,Tucker Carlson US economy,Fox News Tucker Carlson",PT2M48S,hd,True,https://i.ytimg.com/vi/lydWQoqDNp8/default.jpg,https://www.youtube.com/watch?v=lydWQoqDNp8
2j3YtPVBT30,UCXIJgqnII2ZOINSWNOGFThA,ny gov cuomo talks rent payments coronavirus cases and health care needs,Fox News,News & Politics,none,84915,539,0,543,2020-03-30T18:00:34Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,live stream,live,fox,fox business live,live video,live updates,fox live stream,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic,covid,covid-19,covid 19,cuomo,andrew cuomo,new york coronavirus,coronavirus new york,nyc coronavirus,cuomo coronavirus",PT37M54S,hd,False,https://i.ytimg.com/vi/2j3YtPVBT30/default.jpg,https://www.youtube.com/watch?v=2j3YtPVBT30
jXHikITwlng,UCXIJgqnII2ZOINSWNOGFThA,bill gates on his  virus warning efforts to fight coronavirus pandemic,Fox News,News & Politics,none,887737,8213,0,12378,2020-04-05T18:50:02Z,"Fox News Channel,Fox News,News,fox news sunday,health,tech,Fox News Sunday,Chris Wallce,Bill Gates,Bill and Melinda Gates,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,social distancing,white house,coronavirus relief bill",PT12M29S,hd,True,https://i.ytimg.com/vi/jXHikITwlng/default.jpg,https://www.youtube.com/watch?v=jXHikITwlng
ACLU0OxWisE,UCXIJgqnII2ZOINSWNOGFThA,ingraham coronavirus pandemic spreads through us,Fox News,News & Politics,none,381505,6991,0,2886,2020-03-13T04:00:05Z,"Coronavirus,covid-19,coronavirus outbreak,coronavirus fears,pandemic,coronavirus pandemic,united states coronavirus,coronavirus response,media coronavirus,CNN coronavirus corovergae,fnc,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,the ingraham angle",PT5M52S,hd,True,https://i.ytimg.com/vi/ACLU0OxWisE/default.jpg,https://www.youtube.com/watch?v=ACLU0OxWisE
gkR0jipzPRA,UCXIJgqnII2ZOINSWNOGFThA,how to prevent the spread of coronavirus,Fox News,News & Politics,none,29348,489,0,259,2020-03-18T19:15:01Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus tips,coronavirus prevention",PT31S,hd,False,https://i.ytimg.com/vi/gkR0jipzPRA/default.jpg,https://www.youtube.com/watch?v=gkR0jipzPRA
DZLQRA5XwPY,UCXIJgqnII2ZOINSWNOGFThA,gun sales skyrocket during coronavirus pandemic,Fox News,News & Politics,none,119346,2224,0,1198,2020-03-18T23:10:00Z,"Gun sales,coronavirus,coronavirus gun sales,gun sale spikes,ammunition sales,coronavirus ammunition sales,coronavirus gun sale spike,safe gun rights,second ammendment,ammunition shortage,William La Jeunesse,fox news coronavirus,fox news coronavirus coverage,looting,marshal law,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus guns,coronavirus outbreak,coronavirus news,pandemic,pandemic fear,coronavirus fear",PT2M3S,hd,True,https://i.ytimg.com/vi/DZLQRA5XwPY/default.jpg,https://www.youtube.com/watch?v=DZLQRA5XwPY
lp2czs3U8Qk,UCXIJgqnII2ZOINSWNOGFThA,missouri becomes first state to sue china over coronavirus pandemic,Fox News,News & Politics,none,450373,8771,0,4712,2020-04-22T04:15:00Z,"Missouri,Missouri sues China,Missouri Attorney General,Missouri Attorney General sues china,Eric Schmitt,china hoards PPE,missouri sues china,missouri suing china,missouri lawsuit china,missouri sue china,missouri lawsuit against china,covid 19,tucker carlson missouri,tucker carlson eric schmitt,eric schmitt china,fnc,fox news,fox news channel,fox news media,fox news network,tucker,tucker carlson,tucker carlson tonight,tucker tonight,coronavirus,pandemic",PT2M50S,hd,True,https://i.ytimg.com/vi/lp2czs3U8Qk/default.jpg,https://www.youtube.com/watch?v=lp2czs3U8Qk
J0Kavkyn46U,UCXIJgqnII2ZOINSWNOGFThA,dr fauci testifies before senate on coronavirus response,Fox News,News & Politics,none,456966,3089,0,1909,2020-05-12T18:40:27Z,"fnc,fox news,fox news channel,fox news media,fox news network,Fox News live,Fox News senate testimony,Fox News Fauci live,Dr. Fauci,Anthony Fauci,Dr. Anthony Fauci,Fox News live fauci senate,Dr. Fauci testify,senate coronavirus hearing,coronavirus,pandemic,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,fauci senate,fauci senate hearing,fauci testimony",PT3H32M41S,hd,False,https://i.ytimg.com/vi/J0Kavkyn46U/default.jpg,https://www.youtube.com/watch?v=J0Kavkyn46U
eT47ulzfOMo,UCXIJgqnII2ZOINSWNOGFThA,sources coronavirus pandemic may have started in chinese laboratory,Fox News,News & Politics,none,1060703,9016,0,4884,2020-04-15T23:40:08Z,"wuhan lab incident,wuhan lab,patient zero,wuhan patient zero,china laboratory,china laboratory incident,chinese laboratory inceident,chinese laboratory,coronavirus outbreak,wuhan coronavirus,novel coronavirus,wuhan virus,fnc,fox news,fox news channel,fox news media,fox news network,John Roberts,Bret Baier,Bret Baier Special Report,Special Report Bret Baier,coronavirus,coronavirus pandemic,coronavirus updates,pandemic,COVID-19",PT3M11S,hd,True,https://i.ytimg.com/vi/eT47ulzfOMo/default.jpg,https://www.youtube.com/watch?v=eT47ulzfOMo
lJcjFGt9eQM,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,185744,2438,0,935,2020-03-16T18:00:09Z,"Fox News Channel,Fox news,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,dr siegel,coronavirus,coronavirus questions,self quarantine,coronavirus news,coronavirus updates,trump,donald trump,president trump,trump coronavirus,trump coronavirus task force,coronavirus task force,health,health crisis,public health crisis,us public health crisis,fox news coronavirus,how to avoid coronavirus,corona virus,response to coronavirus",PT9M49S,hd,True,https://i.ytimg.com/vi/lJcjFGt9eQM/default.jpg,https://www.youtube.com/watch?v=lJcjFGt9eQM
0pkwjVhq230,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,44992,417,0,125,2020-03-16T18:18:47Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,diamond princess,cruise ship,diamond princess passenger,diamond princess cruise ship,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M11S,hd,True,https://i.ytimg.com/vi/0pkwjVhq230/default.jpg,https://www.youtube.com/watch?v=0pkwjVhq230
zwX5z_BvaN4,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,43172,636,0,179,2020-03-16T18:12:18Z,"Fox News Channel,Fox News,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,harris faulkner outnumbered overtime,dr siegel,mark seigel,dr mark seigel fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M33S,hd,True,https://i.ytimg.com/vi/zwX5z_BvaN4/default.jpg,https://www.youtube.com/watch?v=zwX5z_BvaN4
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,39505,500,0,284,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,True,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
6G_-qe0iMBs,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,41434,398,0,170,2020-03-16T18:24:00Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M21S,hd,True,https://i.ytimg.com/vi/6G_-qe0iMBs/default.jpg,https://www.youtube.com/watch?v=6G_-qe0iMBs
H9N9M9IjXD0,UCXIJgqnII2ZOINSWNOGFThA,klobucher reacts to trumps handling of the coronavirus pandemic,Fox News,News & Politics,none,159455,1015,0,4337,2020-10-04T20:00:02Z,"Fox News Channel,Fox News,News,health,politics,Fox News Sunday,Amy Klobuchar,Chris Wallace,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies",PT9M45S,hd,True,https://i.ytimg.com/vi/H9N9M9IjXD0/default.jpg,https://www.youtube.com/watch?v=H9N9M9IjXD0
LmNOVFozyjo,UCXIJgqnII2ZOINSWNOGFThA,how are big cities and large states handling the coronavirus outbreak,Fox News,News & Politics,none,112280,1236,0,443,2020-03-13T03:27:49Z,"politics,fox news @ night,personality,health|infectious_disease,health|infectious_disease|coronavirus,health,politics|state_local,primary_us,health|infectious_disease|outbreaks,personality|shannon_bream,on_air,on_air|fox_news_@night",PT6M28S,hd,True,https://i.ytimg.com/vi/LmNOVFozyjo/default.jpg,https://www.youtube.com/watch?v=LmNOVFozyjo
aSBWlKC7reM,UCXIJgqnII2ZOINSWNOGFThA,hhs sec azar provides an update on the coronavirus outbreak,Fox News,News & Politics,none,84306,1313,0,825,2020-03-09T15:38:11Z,"america's newsroom,health,health news,covid,covid 19,covid19,corona,coronavirus,coronavirus update",PT10M,hd,True,https://i.ytimg.com/vi/aSBWlKC7reM/default.jpg,https://www.youtube.com/watch?v=aSBWlKC7reM
0sDAuWZPR-4,UCXIJgqnII2ZOINSWNOGFThA,hannity facts without fear amid coronavirus pandemic,Fox News,News & Politics,none,246844,5575,0,2280,2020-03-21T02:56:21Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Sean Hannity,Hannity,Sean Hannity Monologue,Hannity Monologue,Sean Hannity Monologue TOnight,Hannity Monologue Tonight,Hannity china,hannity coronavirus,coronavirus outbreak,coronavirus pandemic,national emergency trump,china government lies,china goverment covers up coronavirus,china,dr. fauci,anthony fauci,dr. anthony fauci,hannity tonight,media coronavirus,joe biden,covid 19",PT16M46S,hd,False,https://i.ytimg.com/vi/0sDAuWZPR-4/default.jpg,https://www.youtube.com/watch?v=0sDAuWZPR-4
3ebpS88BAwA,UCXIJgqnII2ZOINSWNOGFThA,steve hilton on the longterm consequences of coronavirus,Fox News,News & Politics,none,32890,866,0,314,2020-04-06T13:10:44Z,"Fox News Channel,Fox News,News,opinion,the next revolution,steve hilton,steve hilton monologue,steve hilton fox news,steve hilton the next revolution,steve hilton fox news monologue,coronavirus,us coronavirus,coronavirus relief,coronavirus response,covid-19,us businesses,coronavirus in the us,charlie kirk,charlie kirk fox news,economy,us economy,trump economy,coronavirus pandemic,stock market,coronavirus outbreak,coronavirus news,public health crisis",PT4M6S,hd,True,https://i.ytimg.com/vi/3ebpS88BAwA/default.jpg,https://www.youtube.com/watch?v=3ebpS88BAwA
-r_C-QsWEak,UCXIJgqnII2ZOINSWNOGFThA,fauci redfield testify before house on coronavirus crisis,Fox News,News & Politics,none,165326,1328,0,610,2020-07-31T17:40:32Z,"Fox News,Fox News Channel,Fox News Channel Live,Fox News Live,House eharing,fox news house hearing,fox news house coronavirus hearing,dr. fauci live,fauci testify,anthony fauci,dr. anthony fauci,fox news fauci testify live,robert redfield,fox news robert redfield live,House Select Subcommittee on the Coronavirus Crisis,live,live stream,fox news house democrats,fox news house republicans",PT3H47M54S,hd,True,https://i.ytimg.com/vi/-r_C-QsWEak/default.jpg,https://www.youtube.com/watch?v=-r_C-QsWEak
EbyPW8lJX2E,UCXIJgqnII2ZOINSWNOGFThA,tucker we must remain calm but not complacent about the coronavirus,Fox News,News & Politics,none,565525,13170,0,3371,2020-03-10T00:47:09Z,"Tucker,Tucker Carlson,Tucker Carlson Tonight,Tucker Tonight,Tucker Carlson Monologue,Tucker Monlogue,Tucker carlson reacts to coronavirus,Tucker Carlson Monologue tonight,Tucker Monologue Tonight,coronavirus,China impact on drugs,chinese medication,chinese drugs,china manufacturing,fnc,fox news channel,fox news media,fox news network,coronavirus outbreak,world health organization,medication manufactured in china,medications made in china,made in china",PT7M10S,hd,True,https://i.ytimg.com/vi/EbyPW8lJX2E/default.jpg,https://www.youtube.com/watch?v=EbyPW8lJX2E
Oei9_SRfaSw,UCXIJgqnII2ZOINSWNOGFThA,secretary ben carson on efforts to slow the coronavirus pandemic,Fox News,News & Politics,none,174426,2954,0,1054,2020-03-22T01:26:44Z,"politics,Fox News Channel,Fox News,HUD Secretary,Ben Carson,Trump administration,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT5M33S,hd,True,https://i.ytimg.com/vi/Oei9_SRfaSw/default.jpg,https://www.youtube.com/watch?v=Oei9_SRfaSw
xtW8F1Y3mAw,UCXIJgqnII2ZOINSWNOGFThA,fda approves rapid coronavirus test,Fox News,News & Politics,none,114318,1982,0,572,2020-03-28T19:48:30Z,"rapid test,fda approval,fda coronavirus,America's news HQ,fox news america's news HQ,fox news coronavirus,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus task force,coronavirus updates,covid-19,covid-19 pandemic,outbreak,pandemic,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus test,point of care,coronavirus news today,coronavirus news update,us news today,fda regulations,fda coronavirus regulations",PT1M30S,hd,True,https://i.ytimg.com/vi/xtW8F1Y3mAw/default.jpg,https://www.youtube.com/watch?v=xtW8F1Y3mAw
TatxRmKgFUQ,UCXIJgqnII2ZOINSWNOGFThA,new report shows how long coronavirus can remain in air on surfaces,Fox News,News & Politics,none,795105,9900,0,2210,2020-03-12T19:02:01Z,"health,the daily briefing,coronavirus outbreak,coronavirus china,coronavirus symptoms,wuhan coronavirus,corona virus,coronavirus precautions,fox news,fox news channel,white house,donald trump,top stories,virus,pandemic,corona,virus update,coronavirus update,fox,news",PT4M19S,hd,True,https://i.ytimg.com/vi/TatxRmKgFUQ/default.jpg,https://www.youtube.com/watch?v=TatxRmKgFUQ
7voTUuVT5i4,UCXIJgqnII2ZOINSWNOGFThA,hong kong scientist claiming china covered up coronavirus data speaks out,Fox News,News & Politics,none,2864845,56214,0,12979,2020-07-13T20:20:40Z,"health,Fox News Exclusive,Bill Hemmer Reports,Bill Hemmer,Bill Hemmer Li-Meng,Li-Meng,Li-Meng Yan,Fox News Hong Kong Doctor,Hong Kong Doctor,Honk Kong Beijing,fnc,fox news,fox news channel,fox news media,fox news network,fox new beijing coronavirus,Hong Kong researcher,Fox News Hong Kong researcher,hong kong scientist,fox news beijing,hong kong protest,coronavirus,fox news coronavirus pandemic,pandemic,COVID-19,COVID-19 pandemic",PT5M43S,hd,True,https://i.ytimg.com/vi/7voTUuVT5i4/default.jpg,https://www.youtube.com/watch?v=7voTUuVT5i4
